about,address,firstTag,image,latitude,longitude,name,overallrate,rate,secondTag,duration(hour),open,close,price,egyptian and arab,egyptian and arab student,foreigner,foreigner student,Type,Closeoropen
,"Haret Al Darb al Asfar,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/13/fc/4e/2d/20180804-124807-largejpg.jpg,30.052176,31.262556,Bayt Al-Suhaymi,"
61 reviews",4.5,,1,9,17,12.5,1.33,0.66,13.33,3.33,modern age ,close
,"15A Al Mansour Mohamed Street, | ,Off 26 of July Street, Zamalek,, ,Cairo 11511, ,Egypt",Shopping,https://media-cdn.tripadvisor.com/media/photo-s/07/d7/78/6b/getlstd-property-photo.jpg,30.06273,31.21851,Sami Amin,"
2 reviews",3,,0.45,9,17,10,1.33,0.66,13.33,3.33,art,close
,"36 Abu Bakr El Seddiq St., | ,Heliopolis,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/ed/04/25/at-the-enterance.jpg,30.10372,31.25866,Children's Civilization and Creativity Center,"
,3 reviews",4.5,,0.45,9,17,15,1.33,0.66,13.33,3.33,modern age ,close
,"Ramses Square,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0e/ce/3b/01/photo7jpg.jpg,30.16968,31.77346,Railway Museum,"
7 reviews",3.5,,1,9,17,20,1.33,0.66,13.33,3.33,modern age ,close
,"Wezaret El Zeraa St., | ,Dokki,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/05/fd/da/82/agricultural-museum.jpg,30.12445,31.30105,Agricultural Museum,22 reviews,3.5,,0.3,9,17,10,1.33,0.66,13.33,3.33,science,close
"This museum is in recognition of the great Poet-Laureate Ahmed Shawki, which houses a wide collection of more than 713 manuscripts and drafts, a collection of oil paintings, antique objects and photographs of the poet and his family.","6 Ahmed Shawki Street,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/10/1d/8c/42/caption.jpg,30.14977,31.37096,Ahmed Shawki Museum (Karmat Ibn Hani'),"
5 reviews",5,,0.35,9,17,15,1.33,0.66,13.33,3.33,modern age ,close
"This military museum records the history of the Egyptian army forces from Pharaonic times to present-day, featuring exhibits of weaponry, medals, military equipment, uniforms and 220 paints of famous battles.","Citadel,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0b/18/c2/45/misiles.jpg,30.029757,31.261002,Military Museum,35 reviews,3.5,,0.5,9,17,14.5,1.33,0.66,13.33,3.33,modern age ,close
,"Misr Helwan Agricultural Rd., | ,Zahraa Misr El Kadima, Misr El Kadima,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0c/ae/48/a0/egyptian-geology-museum.jpg,29.97755,31.24486,Egyptian Geology Museum,7 reviews,3.5,,1,9,17,15,1.33,0.66,13.33,3.33,science,close
"The Child Museum, also known as The Children's Civilization & Creativity Center, is one of The Heliopolis Association major projects. The Child Museum first opened in 1996 to be the first children's museum in the Middle East and North Africa. In...","34 Abou Bakr El Seddik St. Heliopolis, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/13/39/13/b4/child-museum-building.jpg,30.100883,31.3336,Child Museum,"
5 reviews",5,,0.3,9,17,15,1.33,0.66,13.33,3.33,modern age ,close
,"11 Dr. Taha Hussein St., | ,El Haram,, ,Giza, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/10/1c/96/b7/caption.jpg,29.970385,31.21024,Taha Hussein Museum,"
10 reviews",4.5,,1,9,17,20,1.33,0.66,13.33,3.33,modern age ,close
,"Salah El Din Sq. Qalaa,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0a/71/66/67/img-20160204-195001-largejpg.jpg,30.03101,31.25699,Mostafa Kamel Museum,"
3 reviews",3,,1,9,17,10,1.33,0.66,13.33,3.33,modern age ,close
,"5 El Tahrir St., El Gezirah,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/17/5f/dc/b1/mahmoud-mokhtar-museum.jpg,30.10258,31.2543,Mahmoud Mokhtar Museum,4 reviews,3.5,,0.5,9,17,17,1.33,0.66,13.33,3.33,art,close
"Located in the palace of Prince Ibrahim in Zamalek, this museum offers a splendid collection of ceramics acquired from different Islamic countries.","Prince Ibrahim's Palace,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0c/16/5c/e3/photo7jpg.jpg,30.0552,31.2257,Museum of Islamic Ceramics,12 reviews,3,,1,9,17,18.5,1.33,0.66,13.33,3.33,islamic,close
,"Munira Kasr el-Eini,, ,Cairo 11511, ,Egypt",Museums,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.0375,31.2378,House of the People Beit El-Umma Museum,2 reviews,4.5,,0.45,9,17,18,1.33,0.66,13.33,3.33,modern age ,open
,"Citadel Historic Area,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/daodao/photo-s/03/66/a5/aa/el-gawhara-palace.jpg,30.02745,31.22988,El Gawhara (Jewel) Palace Museum,4 reviews,4,,0.5,9,17,11,1.33,0.66,13.33,3.33,modern age ,open
,"27 El Seyoufeya St. El Khalifa,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/12/9d/af/41/el-amir-taz-palace.jpg,30.032202,31.253353,El Amir Taz Palace,10 reviews,4,,0.45,9,17,10,1.33,0.66,13.33,3.33,islamic,open
"Built by Prince Mohamed Ali (1875-1955), between 1901 and 1929, this palace complex houses six structures including a hunting museum belonging to the late King Farouk, the prince’s residence and furnishings and a beautiful garden.","1 Saray Street, | ,Manyal,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/40/0d/c6/photo0jpg.jpg,30.028767,31.229893,Manial Palace Museum,132 reviews,4.5,,1,9,17,17.5,1.33,0.66,13.33,3.33,modern age ,close
"Housing some of the finest collections of Coptic art dating back to Egypt’s Christian era, this museum includes collections of ancient ankhs and Horus-like falcons, stone carvings from the era of the Mamluks, a 6th-century Coptic stone pulpit and...","No 4 Fakhry Abd el Nour street, | ,Abbassia,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/04/0a/73/20/the-coptic-museum.jpg,30.005833,31.230396,The Coptic Museum,301 reviews,4.5,,1,9,17,13,1.33,0.66,13.33,3.33,coptic,close
,"Shar'a Bur Bab El Khalk Square,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/d5/d1/60/an-outdoor-setting-at.jpg,30.044697,31.25249,Museum of Islamic Arts,133 reviews,4.5,,1,9,17,12,1.33,0.66,13.33,3.33,art,close
"This museum features the items of antiquity collected by John Gayer-Anderson, a British member of the Egyptian civil service in the 1930s and ‘40s, who restored two adjacent 16th- and 17th-century houses decorated with mashrabiyya screens and marble...","4 Maydan Ibn Tulun, | ,Old Cairo,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/07/d2/b4/4c/gayer-anderson-museum.jpg,30.028652,31.250834,Gayer-Anderson Museum (Bayt al-Kiritliya),199 reviews,4.5,,0.3,9,17,13,1.33,0.66,13.33,3.33,modern age ,open
,"El-Orouba Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/11/a3/44/fb/mig-17.jpg,30.09982,31.35106,Egyptian Air Force Museum,9 reviews,4,,0.5,9,17,16,1.33,0.66,13.33,3.33,modern age ,close
,"El-Darb EL-Ahmar, behind Al-Azhar Mosque,, ,Cairo 11511, ,Egypt",Museums,https://media-cdn.tripadvisor.com/media/photo-s/0d/d3/cb/f9/caption.jpg,30.044724,31.263496,Manzil Zienab Khatoon,17 reviews,4,,0.2,9,17,12,1.33,0.66,13.33,3.33,islamic,open
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/06/2d/59/dahshur.jpg,29.79321,31.24628,Dahshur,879 reviews,4.5,,3,9,17,10,1.33,0.66,13.33,3.33,pharaonic,open
,"Mokattam Hills,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/df/fb/a9/view.jpg,30.030916,31.276522,St Simon the Tanner Monastery,40 reviews,4.5,,1,9,17,19,0,0,0,0,coptic,open
,"El-Gezira,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/f4/05/b9/caption.jpg,30.045904,31.224277,Cairo Tower,"1,095 reviews",4,,1.25,9,23,9.5,1.33,0.66,13.33,3.33,modern age ,open
,"Syeda Zainab,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0d/d3/7f/51/caption.jpg,30.10042,31.25704,Mosque of Syeda Zainab,"
 43 reviews ",4.5,,0.3,9,17,10,0,0,0,0,islamic,open
,"3 El Bahr El Aazam St,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/0f/0c/f3/caption.jpg,29.997576,31.215628,Pharaonic Village,248 reviews,4,,2,9,17,10,1.33,0.66,13.33,3.33,pharaonic,close
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/44/39/0f/overall-view.jpg,30.010132,31.232883,Mosque of Amr Ibn El-Aas,132 reviews,4.5,,0.3,9,17,14,0,0,0,0,islamic,open
,"Al Abageyah, | ,Shar'a Salih Salem,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/03/39/9e/3f/citadel-al-qalaa.jpg,30.0113,31.30607,Cairo Citadel,"1,163 reviews",4.5,,0.3,9,17,12,0,0,0,0,islamic,open
,"Nearby Roman Fortress, | ,Old (Coptic) Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0b/d8/1b/8c/photo0jpg.jpg,30.006384,31.229975,Greek Orthodox Church of St. George (Mari Girgis),207 reviews,4.5,,0.3,9,17,11.5,0,0,0,0,coptic,open
,"Old Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/4f/82/94/detalle.jpg,30.006353,31.230633,Church of St Sergius and Bacchus,143 reviews,4.5,,1,9,17,14,0,0,0,0,coptic,open
,"Al Abageyah, | ,Qism El-Khalifa,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/15/95/bf/32/muhammad-ali-mosque.jpg,30.0291,31.25982,Mosque of Muhammad Ali,"2,528 reviews",4.5,,1,9,17,15,0,0,0,0,islamic,open
,"Shar'a Mari Girgis Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0f/4b/d2/a6/caption.jpg,30.005157,31.230167,"Hanging Church (El Muallaqa, Sitt Mariam, St Mary)",736 reviews,4.5,,0.5,9,17,15,0,0,0,0,coptic,open
,"Al-Basatin, off Al-Saliba Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/14/2e/71/0d/mosque-of-ibn-tulun.jpg,30.02869,31.249393,Mosque of Ibn Tulun,377 reviews,4.5,,1,9,17,7.5,0,0,0,0,islamic,open
,"Maydan Salah al-Din,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/09/4d/7d/caption.jpg,30.0323,31.256233,Mosque and Madrasa of Sultan Hassan,416 reviews,4.5,,1,9,17,8,1.33,0,0,0,islamic,open
,"El Maraashly Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0e/ea/35/34/st-mary-s-coptic-orthodox.jpg,30.104807,31.315539,St. Mary's Coptic Orthodox Church,9 reviews,4.5,,1,9,17,7,0,0,0,0,coptic,open
,"Mari Girgis Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/7d/db/29/caption.jpg,30.006802,31.230036,St. Mercurius Church (Abu Seifien),9 reviews,4.5,,1,9,17,9,0,0,0,0,coptic,open
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/10/90/73/gray-mosque-el-aqmar.jpg,30.051711,31.261928,Gray Mosque (El-Aqmar Mosque),16 reviews,4,,1,9,17,11,0,0,0,0,coptic,open
,"Muizz Street, | ,El-Gamaleya,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/1f/76/94/mosque-of-sultan-al-ashraf.jpg,30.03281,31.25613,Mosque of Sultan Al-Ashraf Barsbay,9 reviews,4.5,,1,9,17,5,1.33,0.66,13.33,3.33,islamic,open
,"Next to Bab Zuwaila,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/10/45/90/86/roof-top.jpg,29.97295,31.38953,El Muayyad Mosque,15 reviews,4,,1,9,17,15,0,0.66,13.33,3.33,islamic,open
,"In front of al Ghouri Mausoleum, | ,In front of al Ghouri Mausoleum, south of Khan al-Khalili,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/12/13/45/48/mosque-madrassa-of-al.jpg,30.046162,31.259747,Mosque-Madrassa of al Ghouri,15 reviews,4.5,,1,9,17,10,1.33,0.66,13.33,3.33,islamic,open
,"154 Al Moez Ldin Allah Al Fatmi, | ,154 المعز لدين الله الفاطمي,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/17/b3/a5/ornate-detail.jpg,30.055714,31.263385,Bab al-Futuh,25 reviews,4,,0.3,9,17,10,1.33,0.66,13.33,3.33,islamic,open
,"Cleopatra Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.09235,31.32923,St. Mark's Coptic Orthodox Church,18 reviews,4.5,,1,9,17,5,0,0,0,0,coptic,open
,"El-Gamaleya, Qism El-Gamaleya,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/a2/2d/40/qaraoun-madrasa-and-mausoleum.jpg,30.049404,31.260967,Qalawun Complex,15 reviews,4.5,,0.45,9,17,15,1.33,0.66,13.33,3.33,islamic,open
,"Al Haram Str.,, ,Giza 12611, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/06/7e/7d/2c/pyramids-of-giza.jpg,29.9773,31.132498,Pyramids of Giza,"7,782 reviews",4.5,,2,9,17,8.5,1.33,0.66,13.33,3.33,pharaonic,open
,"Darb Kirmiz, | ,Fatimid Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/18/fa/11/56/the-great-reception-hall.jpg,30.05044,31.26185,Palace of Amir Beshtak,"
5 reviews",3,,0.3,9,17,10,1.33,0.66,13.33,3.33,islamic,open
,"6 Gaber Ibn Hayyan, | ,Dokki,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.03195,31.21147,German Evangelical Church,1 review,4,,1,9,17,11,0,0,0,0,coptic,open
,"3 Mohammed Abdu St,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.17655,31.44337,El Set Wasela House,"
1 review",5,,0.3,9,17,15,1.33,0.66,13.33,3.33,islamic,open
,"Al Saliba,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/78/49/fd/madrasa-on-the-left-side.jpg,30.04334,31.33311,Mosque and Khanqah of Shaykhu,"
1 review",4,,1,9,17,16,0,0,0,0,islamic,open
,"El-Gamaleya, | ,Bayn al-Qasrayn, al-Mu'izz street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/18/fa/6d/1a/the-gilded-and-painted.jpg,30.050064,31.26119,Madrasa of Sultan Barquq,"
 1 review",5,,1,9,17,14,1.33,0.66,13.33,3.33,islamic,open
,"Mohammed Abd El-Wahab, | ,Zamalek,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.05339,31.22646,Aisha Fahmi Palace,1 review,5,,1.5,9,17,17,1.33,0.66,13.33,3.33,modern age ,close
,"Facing Bab Zuwaila, | ,Islamic Cairo District,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/03/8a/48/4c/salah-talay-mosque.jpg,30.17176,31.44877,al-Salih Tala'i Mosque,"
4 reviews",4,,1,9,17,10,0,0,0,0,islamic,open
,"El Darb El Asfar Alley, | ,Azhar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.05198,31.26277,Sabil Qitas,0 reviews,0,,1,9,17,10,0,0,0,0,islamic,open
,"Cleopatra Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.09235,31.32923,Protestant Church,0 reviews,0,,1,9,17,17,0,0,0,0,coptic,open
," | ,It has no reviews and you already have a well-reviewed entry for the cave church,, ,Cairo, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.035286,31.27628,Cave chursh,0 reviews,0,,1.25,9,17,11,0,0,0,0,coptic,open
,"Saliba,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.07282,31.23667,Amir Sarghatmish Mosque and Madrasa,0 reviews,0,,1.5,9,17,9,1.33,0.66,13.33,3.33,islamic,open
,"Haret Al Room,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.0291,31.25982,Sabil of Muhammad Ali Pasha,0 reviews,0,,0.25,9,17,11,0,0,0,0,islamic,open
,"Sheikhoun Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://static.tacdn.com/img2/brand_refresh/application_icons/post-image-550x370.png,30.03875,31.24989,Sabil-Kuttab of Sultan Qayt Bay,0 reviews,0,,0.25,9,17,5,0,0,0,0,islamic,open
,"Al Saleeba Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/6f/37/7e/the-facade-of-the-mosque.jpg,30.07206,31.3711,Mosque of Taghribirdi,0 reviews,0,,1,9,17,5,0,0,0,0,islamic,open
,"Northwest Wall of the Ibn Tulun Mosque,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/02/3b/df/dc/caption.jpg,30.02821,31.25004,Madrassa of Amir Sarghitmish,"
4 reviews",4,,1,9,17,12,0,0,0,0,islamic,open
,"Gameaa Al Azhar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/02/7e/04/photo0jpg.jpg,30.04618,31.26192,Mosque of Abo El Dahab,"
1 review",3,,1,9,17,13,0,0,0,0,islamic,open
,"Muizz Street,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/16/f0/ad/a0/photo1jpg.jpg,30.07206,31.3711,Mosque-Sabil of Sulayman Agha al-Silahdar,"
3 reviews",4.5,,1,9,17,14.5,0,0,0,0,islamic,open
,"Al Fustat, | ,Khan el Kahlili Market Area,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/09/fd/fa/8d/photo3jpg.jpg,30.0037,31.23641,Bab al-Azab,"
11 reviews",3.5,,1,9,17,15,0,0,0,0,islamic,open
,"Darb Al Naya, Qal'at al-Kabsh,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0b/20/a2/2b/beautiful-minaret.jpg,29.81667,31.43333,Qait Bey Madrassa,"
4 reviews",4.5,,1,9,17,14,1.33,0.66,13.33,3.33,islamic,open
,"Al Giza Desert,, ,Giza, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/15/61/75/6e/visita-la-piramide-escalonada.jpg,29.952984,31.14347,sakkra Pyramids,"3,013 reviews",4.5,,0.45,9,17,16,1.33,0.66,13.33,3.33,pharaonic,open
,"36 Al Mashhad Al Husseini,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/17/ed/85/e1/al-emam-al-hussein-mosque.jpg,30.03689,31.24763,Al-Hussein Mosque,10 reviews,4,,1,9,17,10.5,0,0,0,0,islamic,open
,"Near the Roman Fortress,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0a/45/3a/0a/exterior-of-the-orthodox.jpg,30.07151,31.25893,Church of St. Barbara,27 reviews,4.5,,1,9,17,15,0,0,0,0,coptic,open
,"Passage Inside Salah Al Din,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/1a/bf/52/7f/caption.jpg,30.02934,31.26055,Madrassa of Al-Nasir Muhammad,2 reviews,4,,1,9,17,15,0,0,0,0,islamic,open
,"Coptic Cairo,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/13/31/76/50/20180606-090300-001-largejpg.jpg,30.00574,31.229845,Fort of Babylon,49 reviews,4,,0.3,9,17,10,1.33,0.66,13.33,3.33,islamic,open
,"Darb el Ahmar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0e/ab/60/5a/bab-zuweila.jpg,30.042797,31.257696,Bab Zuweila,33 reviews,4.5,,1,9,17,11.5,0,0,0,0,islamic,open
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/01/01/d1/98/al-hakim-mosque-open.jpg,30.054686,31.263418,Al-Hakim Mosque,59 reviews,4,,1,9,17,5,0,0,0,0,islamic,open
,"Cairo, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/11/1b/f9/20/photo6jpg.jpg,30.033144,31.257345,Al Rifai Mosque,157 reviews,4.5,,1,9,17,10.5,0,0,0,0,islamic,open
,"Mohammed Abdou, | ,El-Darb El-Ahmar,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/15/8c/25/4b/view-from-court-yard.jpg,30.04569,31.262688,Al-Azhar Mosque,349 reviews,4.5,,1.5,9,17,8.5,0,0,0,0,islamic,open
,"El-Orouba Street, | ,Heliopolis,, ,Cairo 11511, ,Egypt",Sights & Landmarks,https://media-cdn.tripadvisor.com/media/photo-s/0b/6f/69/3f/img-20160529-wa0011-largejpg.jpg,30.09111,31.33425,Baron Palace,76 reviews,4,,2,9,17,9.5,1.33,0.66,13.33,3.33,modern age ,close
